id,happiness,happy_num,labor,hours,marital,ballot
2321,Pretty happy,2,Working fulltime,40,Never married,Ballot b
2322,Pretty happy,2,Working fulltime,45,Married,Ballot a
2323,Very happy,3,Working fulltime,50,Married,Ballot a
2324,Pretty happy,2,Working fulltime,36,Never married,Ballot a
2326,Pretty happy,2,Working fulltime,78,Never married,Ballot a
2333,Pretty happy,2,Working fulltime,32,Widowed,Ballot a
2334,Not too happy,1,Working fulltime,70,Never married,Ballot c
2336,Pretty happy,2,Working parttime,24,Married,Ballot b
2337,Very happy,3,Working fulltime,55,Married,Ballot a
2339,Not too happy,1,Working parttime,5,Never married,Ballot a
2340,Pretty happy,2,Working fulltime,40,Divorced,Ballot b
2341,Pretty happy,2,Working fulltime,32,Divorced,Ballot a
2344,Pretty happy,2,Working fulltime,43,Separated,Ballot a
2345,Very happy,3,Working fulltime,50,Divorced,Ballot c
2346,Pretty happy,2,Working fulltime,30,Never married,Ballot b
2348,Very happy,3,Working fulltime,68,Married,Ballot b
2349,Pretty happy,2,Working fulltime,45,Married,Ballot a
2350,Pretty happy,2,Working parttime,8,Married,Ballot b
2352,Pretty happy,2,Working fulltime,50,Divorced,Ballot b
2353,Very happy,3,Working parttime,32,Married,Ballot c
2354,Pretty happy,2,Working fulltime,45,Divorced,Ballot b
2356,Very happy,3,Working parttime,20,Married,Ballot c
2358,Pretty happy,2,Working fulltime,35,Divorced,Ballot b
2360,Pretty happy,2,Working fulltime,65,Divorced,Ballot c
2361,Very happy,3,Working fulltime,40,Divorced,Ballot c
2362,Very happy,3,Working fulltime,45,Married,Ballot b
2363,Pretty happy,2,Working parttime,20,Never married,Ballot b
2364,Pretty happy,2,Working fulltime,40,Married,Ballot c
2368,Very happy,3,Working fulltime,40,Married,Ballot a
2371,Pretty happy,2,Working parttime,30,Never married,Ballot c
2373,Pretty happy,2,Working fulltime,60,Married,Ballot a
2376,Very happy,3,Working fulltime,44,Married,Ballot c
2378,Pretty happy,2,Working parttime,33,Never married,Ballot b
2379,Pretty happy,2,Working fulltime,40,Never married,Ballot a
2380,Pretty happy,2,Working fulltime,50,Widowed,Ballot b
2382,Pretty happy,2,Working parttime,10,Divorced,Ballot c
2385,Very happy,3,Working fulltime,65,Married,Ballot c
2386,Pretty happy,2,Working fulltime,55,Married,Ballot a
2389,Pretty happy,2,Working parttime,30,Married,Ballot c
2390,Pretty happy,2,Working parttime,20,Never married,Ballot a
2391,Very happy,3,Working fulltime,40,Married,Ballot c
2393,Pretty happy,2,Working fulltime,38,Married,Ballot b
2394,Very happy,3,Working fulltime,47,Married,Ballot a
2397,Very happy,3,Working fulltime,48,Never married,Ballot a
2398,Not too happy,1,Working fulltime,40,Married,Ballot b
2399,Very happy,3,Working parttime,38,Never married,Ballot a
2404,Very happy,3,Working fulltime,25,Married,Ballot c
2405,Very happy,3,Working fulltime,40,Married,Ballot b
2406,Pretty happy,2,Working fulltime,40,Married,Ballot a
2407,Pretty happy,2,Working parttime,12,Never married,Ballot c
2410,Very happy,3,Working parttime,26,Never married,Ballot a
2414,Not too happy,1,Working fulltime,60,Divorced,Ballot b
2415,Very happy,3,Working fulltime,20,Divorced,Ballot a
2417,Pretty happy,2,Working fulltime,40,Never married,Ballot a
2419,Pretty happy,2,Working fulltime,35,Separated,Ballot b
2421,Pretty happy,2,Working fulltime,34,Married,Ballot a
2422,Pretty happy,2,Working fulltime,40,Married,Ballot c
2423,Not too happy,1,Working parttime,12,Separated,Ballot c
2425,Pretty happy,2,Working fulltime,42,Widowed,Ballot a
2426,Very happy,3,Working fulltime,64,Married,Ballot c
2427,Pretty happy,2,Working fulltime,60,Divorced,Ballot c
2430,Pretty happy,2,Working fulltime,39,Widowed,Ballot c
2431,Very happy,3,Working fulltime,50,Never married,Ballot b
2438,Very happy,3,Working parttime,30,Never married,Ballot a
2440,Pretty happy,2,Working fulltime,55,Married,Ballot a
2441,Not too happy,1,Working fulltime,40,Married,Ballot c
2442,Very happy,3,Working parttime,25,Married,Ballot b
2446,Very happy,3,Working fulltime,35,Married,Ballot c
2448,Pretty happy,2,Working parttime,21,Never married,Ballot a
2452,Pretty happy,2,Working parttime,16,Married,Ballot b
2456,Pretty happy,2,Working fulltime,45,Never married,Ballot b
2458,Very happy,3,Working fulltime,40,Married,Ballot b
2461,Very happy,3,Working parttime,30,Married,Ballot b
2462,Very happy,3,Working parttime,30,Separated,Ballot c
2463,Very happy,3,Working fulltime,32,Married,Ballot b
2465,Not too happy,1,Working parttime,32,Never married,Ballot a
2467,Very happy,3,Working fulltime,44,Never married,Ballot a
